,VC0175,VC0176,VC0177,VC0178,VC0179,VC0180,VC0181,VC0182,VC0183,VC0184,VC0185
1815,Staphylococcus aureus VET0162R[gi|61635xxxx],Rahnella sp. Y9602[gi|32116xxxx],,Burkholderia thailandensis H0587[gi|58409xxxx],,,,,,,
1816,Staphylococcus aureus VET0164R[gi|61635xxxx],Rahnella aquatilis HX2[gi|38075xxxx],,Elizabethkingia miricola[gi|77153xxxx],,,,,,,
1817,Staphylococcus aureus VET0165R[gi|61636xxxx],Dickeya sp. NCPPB 3274[gi|75761xxxx],,Elizabethkingia miricola[gi|76987xxxx],,,,,,,
1818,Staphylococcus aureus VET0166R[gi|61636xxxx],Salmonella enterica subsp. enterica serovar Virchow str. ATCC 51955[gi|55405xxxx],,Clostridioides difficile F253[gi|53152xxxx],,,,,,,
1819,Staphylococcus aureus VET0167R[gi|61636xxxx],Salmonella enterica subsp. enterica serovar Virchow str. SVQ1[gi|57034xxxx],,Rickettsia hoogstraalii[gi|74965xxxx],,,,,,,
1820,Staphylococcus aureus VET0171R[gi|61636xxxx],Stenotrophomonas maltophilia[gi|91375xxxx],,Burkholderia pseudomallei[gi|74099xxxx],,,,,,,
1821,Staphylococcus aureus VET0176R[gi|61637xxxx],Cupriavidus[gi|63923xxxx],,Burkholderia pseudomallei[gi|68691xxxx],,,,,,,
1822,Staphylococcus aureus VET0177R[gi|61637xxxx],Burkholderia pseudomallei[gi|74095xxxx],,Burkholderia[gi|74095xxxx],,,,,,,
1823,Staphylococcus aureus VET0178R[gi|61637xxxx],Burkholderia pseudomallei MSHR2990[gi|71468xxxx],,Burkholderia sp. ABCPW 111[gi|70547xxxx],,,,,,,
1824,Staphylococcus aureus VET0180R[gi|61637xxxx],Stenotrophomonas maltophilia[gi|75616xxxx],,Rickettsia hoogstraalii str. RCCE3[gi|78811xxxx],,,,,,,
1825,Staphylococcus aureus VET0179R[gi|61638xxxx],Stenotrophomonas maltophilia[gi|75528xxxx],,Variovorax sp. Root318D1[gi|94687xxxx],,,,,,,
1826,Staphylococcus aureus VET0188R[gi|61638xxxx],Enterobacter sp. Ag1[gi|73680xxxx],,Variovorax sp. Root318D1[gi|94543xxxx],,,,,,,
1827,Staphylococcus aureus VET0189R[gi|61638xxxx],Acidovorax radicis[gi|91547xxxx],,Clostridium sp. CL-2[gi|69229xxxx],,,,,,,
1828,Staphylococcus aureus VET0190R[gi|61639xxxx],Luteimonas huabeiensis[gi|91820xxxx],,Gloeocapsa sp. PCC 73106[gi|49357xxxx],,,,,,,
1829,Staphylococcus aureus VET0192R[gi|61639xxxx],Pseudoalteromonas sp. P1-25[gi|94044xxxx],,Gloeocapsa sp. PCC 73106[gi|44278xxxx],,,,,,,
1830,Staphylococcus aureus VET0193R[gi|61639xxxx],Thauera linaloolentis[gi|49047xxxx],,Candidatus Paracaedibacter acanthamoebae[gi|74067xxxx],,,,,,,
1831,Staphylococcus aureus VET0194R[gi|61639xxxx],Thauera linaloolentis 47Lol = DSM 12138[gi|47929xxxx],,Candidatus Paracaedibacter acanthamoebae[gi|67421xxxx],,,,,,,
1832,Staphylococcus aureus VET0195R[gi|61640xxxx],Enterobacteriaceae[gi|49023xxxx],,Turicibacter sanguinis[gi|94204xxxx],,,,,,,
1833,Staphylococcus aureus VET0198R[gi|61640xxxx],Klebsiella michiganensis KCTC 1686[gi|36590xxxx],,Turicibacter sanguinis[gi|93292xxxx],,,,,,,
1834,Staphylococcus aureus VET0200R[gi|61640xxxx],Pluralibacter gergoviae[gi|84669xxxx],,Candidatus Paracaedibacter symbiosus[gi|69223xxxx],,,,,,,
1835,Staphylococcus aureus VET0212R[gi|61641xxxx],Pantoea[gi|49537xxxx],,Rickettsia canadensis[gi|50415xxxx],,,,,,,
1836,Staphylococcus aureus VET0213R[gi|61641xxxx],Pantoea sp. YR343[gi|39821xxxx],,Rickettsia canadensis str. CA410[gi|37632xxxx],,,,,,,
1837,Staphylococcus aureus VET0214R[gi|61641xxxx],Paraburkholderia mimosarum[gi|65475xxxx],,Rivularia sp. PCC 7116[gi|50493xxxx],,,,,,,
1838,Staphylococcus aureus VET0215R[gi|61641xxxx],Xanthomonadaceae[gi|67047xxxx],,Rivularia sp. PCC 7116[gi|42737xxxx],,,,,,,
1839,Staphylococcus aureus VET0216R[gi|61641xxxx],Pectobacteriaceae[gi|74246xxxx],,Variovorax paradoxus[gi|51848xxxx],,,,,,,
1840,Staphylococcus aureus VET0217R[gi|61642xxxx],Xanthomonas translucens[gi|74287xxxx],,Flavobacterium sp. 316[gi|80094xxxx],,,,,,,
1841,Staphylococcus aureus VET0218R[gi|61642xxxx],Xanthomonadaceae[gi|74961xxxx],,Flavobacterium sp. 316[gi|75987xxxx],,,,,,,
1842,Staphylococcus aureus VET0221R[gi|61642xxxx],Bacteria[gi|49355xxxx],,Elizabethkingia anophelis[gi|73761xxxx],,,,,,,
1843,Staphylococcus aureus VET0222R[gi|61643xxxx],Catenibacterium mitsuokai DSM 15897[gi|22452xxxx],,Elizabethkingia anophelis[gi|60971xxxx],,,,,,,
1844,Staphylococcus aureus VET0224R[gi|61643xxxx],Pectobacterium carotovorum subsp. carotovorum[gi|74110xxxx],,Elizabethkingia anophelis[gi|60971xxxx],,,,,,,
1845,Staphylococcus aureus VET0227R[gi|61643xxxx],Erwinia billingiae[gi|50296xxxx],,Bacillus sp. FJAT-27251[gi|92276xxxx],,,,,,,
1846,Staphylococcus aureus VET0228R[gi|61643xxxx],Erwinia billingiae Eb661[gi|29906xxxx],,Clostridioides mangenotii[gi|91699xxxx],,,,,,,
1847,Staphylococcus aureus VET0230R[gi|61644xxxx],Yersinia[gi|87390xxxx],,Elizabethkingia anophelis[gi|49637xxxx],,,,,,,
1848,Staphylococcus aureus VET0236R[gi|61644xxxx],Yersinia aleksiciae[gi|80230xxxx],,Elizabethkingia anophelis R26[gi|44256xxxx],,,,,,,
1849,Staphylococcus aureus VET0237R[gi|61644xxxx],Yersinia aleksiciae[gi|87325xxxx],,Elizabethkingia anophelis[gi|87458xxxx],,,,,,,
1850,Staphylococcus aureus VET0241R[gi|61645xxxx],Yersinia kristensenii[gi|89286xxxx],,Candidatus Paracaedibacter acanthamoebae[gi|67421xxxx],,,,,,,
1851,Staphylococcus aureus VET0243R[gi|61645xxxx],Paraburkholderia oxyphila[gi|65476xxxx],,[Clostridium[gi|50517xxxx],,,,,,,
1852,Staphylococcus aureus VET0247R[gi|61645xxxx],Dyella jiangningensis[gi|61250xxxx],,[Clostridium[gi|44274xxxx],,,,,,,
1853,Staphylococcus aureus VET0249R[gi|61645xxxx],Stenotrophomonas[gi|91424xxxx],,[Clostridium[gi|47239xxxx],,,,,,,
1854,Staphylococcus aureus VET0252R[gi|61645xxxx],Yersinia intermedia[gi|92059xxxx],,Candidatus Amoebophilus asiaticus[gi|50144xxxx],,,,,,,
1855,Staphylococcus aureus VET0253R[gi|61646xxxx],Yersinia intermedia[gi|90363xxxx],,Candidatus Amoebophilus asiaticus 5a2[gi|18949xxxx],,,,,,,
1856,Staphylococcus aureus VET0254R[gi|61646xxxx],Burkholderia sp. JPY366[gi|65491xxxx],,Wolbachia pipientis[gi|74869xxxx],,,,,,,
1857,Staphylococcus aureus VET0259R[gi|61646xxxx],Klebsiella variicola[gi|90629xxxx],,Wolbachia endosymbiont of Culex quinquefasciatus JHB[gi|21299xxxx],,,,,,,
1858,Staphylococcus aureus VET0260R[gi|61647xxxx],Yersinia enterocolitica[gi|50014xxxx],,Burkholderia oklahomensis[gi|49780xxxx],,,,,,,
1859,Staphylococcus aureus VET0256R[gi|61647xxxx],Yersinia enterocolitica subsp. enterocolitica 8081[gi|12344xxxx],,Burkholderia oklahomensis C6786[gi|77297xxxx],,,,,,,
1860,Staphylococcus aureus VET0261R[gi|61647xxxx],Yersinia enterocolitica subsp. enterocolitica 8081[gi|12209xxxx],,Burkholderia thailandensis[gi|49758xxxx],,,,,,,
1861,Staphylococcus aureus VET0263R[gi|61647xxxx],Yersinia enterocolitica[gi|75540xxxx],,Burkholderia thailandensis[gi|68578xxxx],,,,,,,
1862,Staphylococcus aureus VET0267R[gi|61647xxxx],Yersinia enterocolitica[gi|87199xxxx],,Chryseobacterium caeni[gi|65313xxxx],,,,,,,
1863,Staphylococcus aureus VET0268R[gi|61648xxxx],Enterobacter cancerogenus[gi|73682xxxx],,Burkholderia oklahomensis[gi|49779xxxx],,,,,,,
1864,Staphylococcus aureus VET0269R[gi|61648xxxx],Enterobacter cancerogenus[gi|71278xxxx],,Burkholderia oklahomensis[gi|68568xxxx],,,,,,,
1865,Staphylococcus aureus VET0270R[gi|61649xxxx],Erwinia billingiae[gi|92119xxxx],,Clostridioides difficile F314[gi|53151xxxx],,,,,,,
1866,Staphylococcus aureus VET0271R[gi|61649xxxx],Enterobacteriaceae bacterium LSJC7[gi|64827xxxx],,Elizabethkingia anophelis[gi|89595xxxx],,,,,,,
1867,Staphylococcus aureus VET0275R[gi|61649xxxx],Stenotrophomonas[gi|64052xxxx],,Candidatus Paracaedibacter symbiosus[gi|69223xxxx],,,,,,,
1868,Staphylococcus aureus VET0278R[gi|61649xxxx],Stenotrophomonas maltophilia M30[gi|63554xxxx],,Spirochaeta africana[gi|50426xxxx],,,,,,,
1869,Staphylococcus aureus VET0279R[gi|61650xxxx],Stenotrophomonas maltophilia[gi|67429xxxx],,Spirochaeta africana DSM 8902[gi|38310xxxx],,,,,,,
1870,Staphylococcus aureus VET0280R[gi|61650xxxx],Stenotrophomonas maltophilia[gi|81458xxxx],,Citrobacter pasteurii[gi|74961xxxx],,,,,,,
1871,Staphylococcus aureus VET0282R[gi|61650xxxx],Stenotrophomonas maltophilia[gi|92291xxxx],,Citrobacter pasteurii[gi|72903xxxx],,,,,,,
1872,Staphylococcus aureus VET0283R[gi|61650xxxx],[Pseudomonas[gi|94699xxxx],,Rickettsia helvetica[gi|75032xxxx],,,,,,,
1873,Staphylococcus aureus VET0284R[gi|61651xxxx],Xanthomonas[gi|82249xxxx],,Clostridioides difficile CD160[gi|53122xxxx],,,,,,,
1874,Staphylococcus aureus VET0286R[gi|61651xxxx],Xanthomonas euvesicatoria pv. citrumelonis[gi|33084xxxx],,Scytonema hofmannii[gi|51635xxxx],,,,,,,
1875,Staphylococcus aureus VET0287R[gi|61651xxxx],Xanthomonas perforans[gi|82184xxxx],,Trichormus variabilis[gi|49963xxxx],,,,,,,
1876,Staphylococcus aureus VET0288R[gi|61652xxxx],Delftia sp. Cs1-4[gi|50356xxxx],,Trichormus variabilis ATCC 29413[gi|7570xxxx],,,,,,,
1877,Staphylococcus aureus VET0289R[gi|61652xxxx],Delftia sp. Cs1-4[gi|33374xxxx],,Planococcus sp. PAMC 21323[gi|74091xxxx],,,,,,,
1878,Staphylococcus aureus VET0290R[gi|61652xxxx],Stenotrophomonas maltophilia[gi|51592xxxx],,Planococcus sp. PAMC 21323[gi|72361xxxx],,,,,,,
1879,Staphylococcus aureus VET0291R[gi|61652xxxx],Xanthomonas perforans[gi|82249xxxx],,Limnoraphis robusta[gi|89822xxxx],,,,,,,
1880,Staphylococcus aureus VET0292R[gi|61653xxxx],Xanthomonas perforans[gi|82185xxxx],,Limnoraphis robusta CS-951[gi|89371xxxx],,,,,,,
1881,Staphylococcus aureus VET0294R[gi|61653xxxx],Xanthomonas perforans[gi|82186xxxx],,Nonlabens ulvanivorans[gi|67496xxxx],,,,,,,
1882,Staphylococcus aureus VET0295R[gi|61653xxxx],Xanthomonas perforans[gi|82186xxxx],,Afipia sp. Root123D2[gi|94763xxxx],,,,,,,
1883,Staphylococcus aureus VET0296R[gi|61653xxxx],Xanthomonas perforans[gi|82187xxxx],,Afipia sp. Root123D2[gi|94556xxxx],,,,,,,
1884,Staphylococcus aureus VET0297R[gi|61653xxxx],Xanthomonas perforans[gi|82187xxxx],,Oscillatoria sp. PCC 10802[gi|51632xxxx],,,,,,,
1885,Staphylococcus aureus VET0299R[gi|61654xxxx],Xanthomonas perforans[gi|82187xxxx],,Sphingomonas sp. Leaf242[gi|94476xxxx],,,,,,,
1886,Staphylococcus aureus VET0300R[gi|61654xxxx],Xanthomonas perforans[gi|82188xxxx],,Planococcus halocryophilus[gi|49577xxxx],,,,,,,
1887,Staphylococcus aureus VET0303R[gi|61654xxxx],Xanthomonas perforans[gi|82188xxxx],,Planococcus halocryophilus Or1[gi|45601xxxx],,,,,,,
1888,Staphylococcus aureus VET0302R[gi|61655xxxx],Xanthomonas perforans[gi|82189xxxx],,Clostridioides difficile[gi|93049xxxx],,,,,,,
1889,Staphylococcus aureus VET0304R[gi|61655xxxx],Xanthomonas perforans[gi|82189xxxx],,Wolbachia endosymbiont of Diaphorina citri[gi|51610xxxx],,,,,,,
1890,Staphylococcus aureus VET0305R[gi|61655xxxx],Xanthomonas perforans[gi|82189xxxx],,Gammaproteobacteria bacterium BRH_c0[gi|78079xxxx],,,,,,,
1891,Staphylococcus aureus VET0307R[gi|61655xxxx],Xanthomonas perforans[gi|82190xxxx],,Cardinium endosymbiont of Encarsia pergandiella[gi|50474xxxx],,,,,,,
1892,Staphylococcus aureus VET0308R[gi|61656xxxx],Xanthomonas perforans[gi|82190xxxx],,Cardinium endosymbiont cEper1 of Encarsia pergandiella[gi|40443xxxx],,,,,,,
1893,Staphylococcus aureus VET0309R[gi|61656xxxx],Xanthomonas perforans[gi|82191xxxx],,Nostocaceae[gi|49930xxxx],,,,,,,
1894,Staphylococcus aureus VET0312R[gi|61656xxxx],Xanthomonas perforans[gi|82192xxxx],,Nostoc sp. PCC 7120[gi|1713xxxx],,,,,,,
1895,Staphylococcus aureus VET0315R[gi|61657xxxx],Xanthomonas perforans[gi|82192xxxx],,Planococcus halocryophilus[gi|49577xxxx],,,,,,,
1896,Staphylococcus aureus VET0313R[gi|61657xxxx],Xanthomonas perforans[gi|82192xxxx],,Planococcus halocryophilus Or1[gi|45601xxxx],,,,,,,
1897,Staphylococcus aureus VET0314R[gi|61657xxxx],Xanthomonas perforans[gi|82192xxxx],,Wolbachia[gi|49481xxxx],,,,,,,
1898,Staphylococcus aureus VET0317R[gi|61657xxxx],Xanthomonas perforans[gi|82194xxxx],,Wolbachia endosymbiont of Drosophila ananassae[gi|5853xxxx],,,,,,,
1899,Staphylococcus aureus VET0316R[gi|61657xxxx],Xanthomonas perforans[gi|82194xxxx],,Wolbachia sp. wRi[gi|22559xxxx],,,,,,,
1900,Staphylococcus aureus VET0318R[gi|61658xxxx],Xanthomonas perforans[gi|82194xxxx],,Clostridium disporicum[gi|93305xxxx],,,,,,,
1901,Staphylococcus aureus VET0320R[gi|61658xxxx],Xanthomonas perforans[gi|82195xxxx],,Clostridioides difficile T5[gi|54928xxxx],,,,,,,
1902,Staphylococcus aureus VET0322R[gi|61658xxxx],Xanthomonas perforans[gi|82195xxxx],,Clostridioides difficile T20[gi|54928xxxx],,,,,,,
1903,Staphylococcus aureus VET0323R[gi|61659xxxx],Xanthomonas perforans[gi|82195xxxx],,Clostridioides difficile E1[gi|54928xxxx],,,,,,,
1904,Staphylococcus aureus VET0325R[gi|61659xxxx],Xanthomonas perforans[gi|82196xxxx],,Clostridioides difficile E10[gi|54929xxxx],,,,,,,
1905,Staphylococcus aureus VET0326R[gi|61659xxxx],Xanthomonas perforans[gi|82196xxxx],,Nafulsella turpanensis[gi|51634xxxx],,,,,,,
1906,Staphylococcus aureus VET0329R[gi|61660xxxx],Xanthomonas perforans[gi|82197xxxx],,Wolbachia pipientis[gi|51806xxxx],,,,,,,
1907,Staphylococcus aureus VET0331R[gi|61660xxxx],Xanthomonas perforans[gi|82197xxxx],,Planococcus donghaensis[gi|49570xxxx],,,,,,,
1908,Staphylococcus aureus VET0333R[gi|61660xxxx],Xanthomonas perforans[gi|82197xxxx],,Planococcus donghaensis MPA1U2[gi|32339xxxx],,,,,,,
1909,Staphylococcus aureus VET0336R[gi|61660xxxx],Xanthomonas perforans[gi|82198xxxx],,Wolbachia endosymbiont of Drosophila simulans[gi|50540xxxx],,,,,,,
1910,Staphylococcus aureus VET0335R[gi|61661xxxx],Xanthomonas perforans[gi|82198xxxx],,Wolbachia endosymbiont of Drosophila simulans wNo[gi|48106xxxx],,,,,,,
1911,Staphylococcus aureus VET0337R[gi|61661xxxx],Delftia[gi|73636xxxx],,Wolbachia endosymbiont of Culex quinquefasciatus[gi|49451xxxx],,,,,,,
1912,Staphylococcus aureus VET0338R[gi|61661xxxx],Xanthomonas[gi|49284xxxx],,Wolbachia endosymbiont of Culex quinquefasciatus Pel[gi|19035xxxx],,,,,,,
1913,Staphylococcus aureus VET0339R[gi|61661xxxx],Xanthomonas vesicatoria ATCC 35937[gi|32553xxxx],,Wolbachia endosymbiont of Culex quinquefasciatus JHB[gi|21299xxxx],,,,,,,
1914,Staphylococcus aureus VET0340R[gi|61662xxxx],Xanthomonas euvesicatoria[gi|82169xxxx],,Tolypothrix campylonemoides[gi|75156xxxx],,,,,,,
1915,Staphylococcus aureus VET0341R[gi|61662xxxx],Xanthomonas euvesicatoria[gi|82170xxxx],,Tolypothrix campylonemoides VB511288[gi|75091xxxx],,,,,,,
1916,Staphylococcus aureus VET0352R[gi|61662xxxx],Xanthomonas euvesicatoria[gi|82170xxxx],,Chryseobacterium formosense[gi|73667xxxx],,,,,,,
1917,Staphylococcus aureus VET0354R[gi|61663xxxx],Xanthomonas euvesicatoria[gi|82170xxxx],,Chryseobacterium formosense[gi|67121xxxx],,,,,,,
1918,Staphylococcus aureus VET0357R[gi|61663xxxx],Xanthomonas euvesicatoria[gi|82170xxxx],,Turicibacter sanguinis[gi|94194xxxx],,,,,,,
1919,Staphylococcus aureus VET0359R[gi|61663xxxx],Xanthomonas euvesicatoria[gi|82171xxxx],,Turicibacter sanguinis[gi|93292xxxx],,,,,,,
1920,Staphylococcus aureus VET0360R[gi|61663xxxx],Xanthomonas euvesicatoria[gi|82172xxxx],,Clostridioides difficile P11[gi|53163xxxx],,,,,,,
1921,Staphylococcus aureus VET0363R[gi|61663xxxx],Xanthomonas euvesicatoria[gi|82172xxxx],,Algoriphagus vanfongensis[gi|73748xxxx],,,,,,,
1922,Staphylococcus aureus VET0366R[gi|61664xxxx],Xanthomonas euvesicatoria[gi|82173xxxx],,Turicibacter[gi|94211xxxx],,,,,,,
1923,Staphylococcus aureus VET0367R[gi|61664xxxx],Xanthomonas euvesicatoria[gi|82173xxxx],,Turicibacter sanguinis[gi|93293xxxx],,,,,,,
1924,Staphylococcus aureus VET0369R[gi|61664xxxx],Xanthomonas euvesicatoria[gi|82178xxxx],,Halomonas sp. R57-5[gi|80212xxxx],,,,,,,
1925,Staphylococcus aureus VET0373R[gi|61665xxxx],Xanthomonas euvesicatoria[gi|82180xxxx],,Wolbachia endosymbiont of Cadra cautella[gi|22282xxxx],,,,,,,
1926,Staphylococcus aureus VET0376R[gi|61665xxxx],Xanthomonas euvesicatoria[gi|82180xxxx],,Chryseobacterium sp. CF356[gi|83538xxxx],,,,,,,
1927,Staphylococcus aureus VET0382R[gi|61665xxxx],Xanthomonas euvesicatoria[gi|82181xxxx],,Anaplasma marginale[gi|49794xxxx],,,,,,,
1928,Staphylococcus aureus VET0383R[gi|61665xxxx],Xanthomonas euvesicatoria[gi|82181xxxx],,Anaplasma marginale str. Gypsy Plains[gi|55685xxxx],,,,,,,
1929,Staphylococcus aureus VET0384R[gi|61666xxxx],Xanthomonas euvesicatoria[gi|82182xxxx],,Anaplasma marginale str. Dawn[gi|55685xxxx],,,,,,,
1930,Staphylococcus aureus VET0387R[gi|61666xxxx],Xanthomonas euvesicatoria[gi|82182xxxx],,Cetobacterium somerae[gi|55330xxxx],,,,,,,
1931,Staphylococcus aureus VET0388R[gi|61666xxxx],Xanthomonas euvesicatoria[gi|82182xxxx],,Cetobacterium somerae ATCC BAA-474[gi|55169xxxx],,,,,,,
1932,Staphylococcus aureus VET0389R[gi|61666xxxx],Xanthomonas euvesicatoria[gi|82183xxxx],,Imhoffiella purpurea[gi|76007xxxx],,,,,,,
1933,Staphylococcus aureus VET0390R[gi|61667xxxx],Xanthomonas vesicatoria[gi|73400xxxx],,Imhoffiella purpurea[gi|58983xxxx],,,,,,,
1934,Staphylococcus aureus VET0393R[gi|61667xxxx],Xanthomonas vesicatoria[gi|73401xxxx],,Nostoc sp. PCC 7107[gi|50492xxxx],,,,,,,
1935,Staphylococcus aureus VET0394R[gi|61667xxxx],Xanthomonas gardneri[gi|82174xxxx],,Nostoc sp. PCC 7107[gi|42736xxxx],,,,,,,
1936,Staphylococcus aureus VET0396R[gi|61668xxxx],Xanthomonas gardneri[gi|82176xxxx],,Hyphomonas sp. T16B2[gi|73682xxxx],,,,,,,
1937,Staphylococcus aureus VET0395R[gi|61668xxxx],Xanthomonas gardneri[gi|82177xxxx],,Hyphomonas sp. T16B2[gi|63077xxxx],,,,,,,
1938,Staphylococcus aureus VET0399R[gi|61668xxxx],Xanthomonas fragariae LMG 25863[gi|48158xxxx],,Anaplasma[gi|49795xxxx],,,,,,,
1939,Staphylococcus aureus VET0401R[gi|61668xxxx],Yersinia bercovieri ATCC 43970[gi|23871xxxx],,Anaplasma marginale str. Florida[gi|22241xxxx],,,,,,,
1940,Staphylococcus aureus VET0402R[gi|61669xxxx],Rahnella sp. WP5[gi|73917xxxx],,Mesorhizobium huakuii 7653R[gi|65712xxxx],,,,,,,
1941,Staphylococcus aureus VET0403R[gi|61669xxxx],Delftia[gi|80808xxxx],,Elizabethkingia meningoseptica[gi|51082xxxx],,,,,,,
1942,Staphylococcus aureus VET0406R[gi|61669xxxx],Klebsiella[gi|51519xxxx],,Elizabethkingia meningoseptica ATCC 13253 = NBRC 12535[gi|50715xxxx],,,,,,,
1943,Staphylococcus aureus VET0407R[gi|61669xxxx],Yersinia mollaretii[gi|91422xxxx],,alpha proteobacterium U9-1i[gi|75452xxxx],,,,,,,
1944,Staphylococcus aureus VET0410R[gi|61670xxxx],Yersinia mollaretii[gi|89986xxxx],,Lysinimicrobium mangrovi[gi|75485xxxx],,,,,,,
1945,Staphylococcus aureus VET0412R[gi|61670xxxx],Yersinia mollaretii[gi|89989xxxx],,Rickettsia asembonensis[gi|91840xxxx],,,,,,,
1946,Staphylococcus aureus VET0411R[gi|61670xxxx],Enterobacteriaceae[gi|69582xxxx],,Chryseobacterium daeguense[gi|65313xxxx],,,,,,,
1947,Staphylococcus aureus VET0413R[gi|61670xxxx],Yersinia mollaretii[gi|49101xxxx],,Chlorobium chlorochromatii[gi|49968xxxx],,,,,,,
1948,Staphylococcus aureus VET0417R[gi|61671xxxx],Yersinia mollaretii ATCC 43969[gi|23871xxxx],,Chlorobium chlorochromatii CaD3[gi|7817xxxx],,,,,,,
1949,Staphylococcus aureus VET0415R[gi|61671xxxx],Yersinia mollaretii[gi|89300xxxx],,Rickettsia bellii[gi|91913xxxx],,,,,,,
1950,Staphylococcus aureus VET0418R[gi|61671xxxx],Yersinia mollaretii[gi|89302xxxx],,Rickettsia bellii str. RML Mogi[gi|78812xxxx],,,,,,,
1951,Staphylococcus aureus VET0421R[gi|61672xxxx],Yersinia mollaretii[gi|89989xxxx],,Rickettsia asembonensis[gi|75092xxxx],,,,,,,
1952,Staphylococcus aureus VET0423R[gi|61672xxxx],Methylotenera mobilis[gi|51873xxxx],,Wolbachia endosymbiont of Cadra cautella[gi|22282xxxx],,,,,,,
1953,Staphylococcus aureus VET0427R[gi|61672xxxx],Dyella[gi|51603xxxx],,Clostridioides difficile[gi|93070xxxx],,,,,,,
1954,Staphylococcus aureus VET0425R[gi|61672xxxx],Pectobacterium[gi|74627xxxx],,Clostridioides difficile[gi|93049xxxx],,,,,,,
1955,Staphylococcus aureus VET0428R[gi|61673xxxx],Pectobacterium betavasculorum[gi|67962xxxx],,Lyngbya sp. PCC 8106[gi|49747xxxx],,,,,,,
1956,Staphylococcus aureus VET0432R[gi|61673xxxx],Pectobacterium carotovorum subsp. carotovorum[gi|74110xxxx],,Lyngbya sp. PCC 8106[gi|11945xxxx],,,,,,,
1957,Staphylococcus aureus VET0431R[gi|61673xxxx],Xanthomonas phaseoli[gi|75131xxxx],,Bacteroidales bacterium CF[gi|54964xxxx],,,,,,,
1958,Staphylococcus aureus VET0433R[gi|61673xxxx],Xanthomonas phaseoli pv. phaseoli[gi|74980xxxx],,Bacteroidales bacterium CF[gi|55302xxxx],,,,,,,
1959,Staphylococcus aureus VET0434R[gi|61674xxxx],Xanthomonas[gi|74640xxxx],,Chryseobacterium gallinarum[gi|92205xxxx],,,,,,,
1960,Staphylococcus aureus VET0435R[gi|61674xxxx],Xanthomonas vasicola[gi|70412xxxx],,Chryseobacterium gallinarum[gi|82845xxxx],,,,,,,
1961,Staphylococcus aureus VET0438R[gi|61674xxxx],Xanthomonas vasicola[gi|71276xxxx],,Chryseobacterium koreense[gi|86863xxxx],,,,,,,
1962,Staphylococcus aureus VET0439R[gi|61675xxxx],Rahnella aquatilis[gi|50573xxxx],,Chryseobacterium koreense CCUG 49689[gi|86137xxxx],,,,,,,
1963,Staphylococcus aureus VET0440R[gi|61675xxxx],Rahnella aquatilis CIP 78.65 = ATCC 33071[gi|37158xxxx],,Microbulbifer variabilis[gi|52108xxxx],,,,,,,
1964,Staphylococcus aureus VET0442R[gi|61675xxxx],Rahnella aquatilis CIP 78.65 = ATCC 33071[gi|66899xxxx],,Chryseobacterium sp. YR561[gi|83529xxxx],,,,,,,
1965,Staphylococcus aureus VET0443R[gi|61675xxxx],Comamonas testosteroni[gi|69237xxxx],,Clostridium ihumii[gi|74994xxxx],,,,,,,
1966,Staphylococcus aureus VET0446R[gi|61676xxxx],Comamonas testosteroni[gi|69239xxxx],,Citrobacter freundii[gi|89591xxxx],,,,,,,
1967,Staphylococcus aureus VET0444R[gi|61676xxxx],Yersinia pseudotuberculosis[gi|50105xxxx],,Chryseobacterium sp. FH2[gi|86866xxxx],,,,,,,
1968,Staphylococcus aureus VET0451R[gi|61676xxxx],Yersinia pseudotuberculosis IP 31758[gi|15296xxxx],,Chryseobacterium sp. FH2[gi|86137xxxx],,,,,,,
1969,Staphylococcus aureus VET0452R[gi|61677xxxx],Yersinia pseudotuberculosis[gi|81238xxxx],,Citrobacter freundii[gi|89593xxxx],,,,,,,
1970,Staphylococcus aureus VET0454R[gi|61677xxxx],Yersinia pseudotuberculosis[gi|89318xxxx],,Lyngbya sp. PCC 8106[gi|49747xxxx],,,,,,,
1971,Staphylococcus aureus VET0455R[gi|61677xxxx],Yersinia pseudotuberculosis[gi|89320xxxx],,Lyngbya sp. PCC 8106[gi|11945xxxx],,,,,,,
1972,Staphylococcus aureus VET0456R[gi|61677xxxx],Yersinia pseudotuberculosis[gi|69412xxxx],,Microcystis aeruginosa NIES-44[gi|71825xxxx],,,,,,,
1973,Staphylococcus aureus VET0459R[gi|61677xxxx],Yersinia pseudotuberculosis[gi|4965xxxx],,Calothrix sp. 336/3[gi|82103xxxx],,,,,,,
1974,Staphylococcus aureus VET0460R[gi|61678xxxx],Yersinia pseudotuberculosis[gi|68517xxxx],,Calothrix sp. 336/3[gi|81792xxxx],,,,,,,
1975,Staphylococcus aureus VET0462R[gi|61678xxxx],Yersinia pseudotuberculosis[gi|81384xxxx],,Bacillus campisalis[gi|81716xxxx],,,,,,,
1976,Staphylococcus aureus VET0463R[gi|61678xxxx],Yersinia pseudotuberculosis[gi|81388xxxx],,Bacillus campisalis[gi|81638xxxx],,,,,,,
1977,Staphylococcus aureus VET0464R[gi|61678xxxx],Yersinia pseudotuberculosis[gi|89334xxxx],,Sphingobacterium paucimobilis[gi|54463xxxx],,,,,,,
1978,Staphylococcus aureus VET0465R[gi|61679xxxx],Yersinia pseudotuberculosis[gi|89341xxxx],,Sphingobacterium paucimobilis HER1398[gi|54340xxxx],,,,,,,
